_id,OBJECTID,GEO_ID,NAME,BOARD_NAME,SOURCE_ADDRESS,ADDRESS_POINT_ID,ADDRESS_NUMBER,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,CENTRELINE_ID,geometry
1,1,330677,A PLUS ACADEMY OF ADVANCEMENT,,2425 EGLINTON AVE E,330677,2425,2425 Eglinton Ave E,M1K 5G8,Scarborough,Toronto,,111254,MULTIPOINT (-79.267103936897 43.7320819460129)
2,2,524780,A R S ARMENIAN PRIVATE SCHOOL,,50 HALLCROWN PL,524780,50,50 Hallcrown Pl,M2J 1P7,North York,Toronto,,438652,MULTIPOINT (-79.323156147744 43.770053062482)
3,3,20258267,A Y J GLOBAL ACADEMY,,4 LANSING SQ,20258267,4,4 Lansing Sq,M2J 5A2,North York,Toronto,,438287,MULTIPOINT (-79.3252164120635 43.774082570705)
4,4,517961,A Y JACKSON SECONDARY SCHOOL,Toronto District School Board,50 FRANCINE DR,517961,50,50 Francine Dr,M2H 2G6,North York,Toronto,A. Y. Jackson Secondary School,436260,MULTIPOINT (-79.3665552934095 43.8052613014219)
5,5,13967401,ABACUS MONTESSORI LEARNING CENTRE,,4 CREDIT UNION DR,13967401,4,4 Credit Union Dr,M4A 2N8,North York,Toronto,Latvian Canadian Centre,444179,MULTIPOINT (-79.3190099774403 43.725432232812)
6,6,4605052,ABU BAKR EDUCATION ACADEMY,,2665 LAWRENCE AVE E,4605052,2665,2665 Lawrence Ave E,M1P 2S2,Scarborough,Toronto,,4605051,MULTIPOINT (-79.2621633018006 43.7514534548585)
7,7,8087266,ACACIA INTERNATIONAL HIGH SCHOOL,,5415 DUNDAS ST W,8087266,5415,5415 Dundas St W,M9B 1B5,Etobicoke,Toronto,,8087218,MULTIPOINT (-79.5412901930194 43.6339646127929)
8,8,322971,ACADEMIE ALEXANDRE DUMAS,Conseil scolaire Viamonde,255 CORONATION DR,322971,255,255 Coronation Dr,M1E 2J3,Scarborough,Toronto,Academie Alexandre Dumas,108815,MULTIPOINT (-79.1797652166975 43.7624188078436)
9,9,575619,ACADEMY OF EXCELLENCE  ,,128 WILLOWDALE AVE,575619,128,128 Willowdale Ave,M2N 4Y2,North York,Toronto,,439396,MULTIPOINT (-79.4005055525118 43.7651862818454)
10,10,30029356,ACADEMY OF MATH AND ENGLISH,,5101 DUNDAS ST W,30029356,5101,5101 Dundas St W,M9A 5G8,Etobicoke,Toronto,,30012612,MULTIPOINT (-79.5319897329647 43.644824255422)
11,11,9311790,ACADEMY OF NEW ECHO EDUCATION,,1041 MCNICOLL AVE,9311790,1041,1041 McNicoll Ave,M1W 3W6,Scarborough,Toronto,,9311781,MULTIPOINT (-79.3344738933022 43.8041514841863)
12,12,508042,ACE ACUMEN HIGH SCHOOL,,1440 DON MILLS RD,508042,1440,1440 Don Mills Rd,M3B 3M1,North York,Toronto,,441121,MULTIPOINT (-79.3475085093383 43.750732060267)
13,13,10476656,ADAM BECK JUNIOR PUBLIC SCHOOL,Toronto District School Board,400 SCARBOROUGH RD,10476656,400,400 Scarborough Rd,M4E 3M8,former Toronto,Toronto,Adam Beck Junior Public School,10476638,MULTIPOINT (-79.2884878925608 43.6831518038006)
14,14,5336735,ADELFIHA'S CHRISTIAN ACADEMY,,4340 DUFFERIN ST,5336735,4340,4340 Dufferin St,M3H 5R9,North York,Toronto,Revival Time Tabernacle,5336708,MULTIPOINT (-79.4664451058379 43.7626893702758)
15,15,10133016,AFRICENTRIC ALTERNATIVE SCHOOL,Toronto District School Board,1430 SHEPPARD AVE W,10133016,1430,1430 Sheppard Ave W,M3M 2W9,North York,Toronto,Sheppard Public School,10133008,MULTIPOINT (-79.4882606578029 43.7454243556118)
16,16,316926,AFZAL ISLAMIC MONTESSORI & ACADEMY,,33 CASEBRIDGE CRT,316926,33,33 Casebridge Crt,M1B 3J5,Scarborough,Toronto,,104065,MULTIPOINT (-79.1995461417982 43.8090844901631)
17,17,3211411,AGINCOURT COLLEGIATE INSTITUTE,Toronto District School Board,2621 MIDLAND AVE,3211411,2621,2621 Midland Ave,M1S 1R6,Scarborough,Toronto,Agincourt Collegiate Institute,3216896,MULTIPOINT (-79.2789099586918 43.7888738444071)
18,18,382096,AGINCOURT INTERNATIONAL ACADEMY,,1001 SANDHURST CRCL,382096,1001,1001 Sandhurst Crcl,M1V 1Z6,Scarborough,Toronto,,104203,MULTIPOINT (-79.2636771200357 43.8092576481457)
19,19,356507,AGINCOURT JR PUBLIC SCHOOL,Toronto District School Board,29 LOCKIE AVE,356507,29,29 Lockie Ave,M1S 1N3,Scarborough,Toronto,Agincourt Junior Public School,106335,MULTIPOINT (-79.2811623057309 43.7882592158345)
20,20,5479010,AGINCOURT MONTESSORI  ,,2575 MIDLAND AVE,5479010,2575,2575 Midland Ave,M1S 1R3,Scarborough,Toronto,,5479011,MULTIPOINT (-79.2787041824473 43.7864432730251)
21,21,30022742,AGNES MCPHAIL PUBLIC SCHOOL,Toronto District School Board,112 GOLDHAWK TRL,30022742,112,112 Goldhawk Trl,M1V 1W5,Scarborough,Toronto,,103439,MULTIPOINT (-79.2785533935458 43.819268975669)
22,22,10785753,AIM ACADEMY ISLAMIC SCHOOL,,56 BOUSTEAD AVE,10785753,56,56 Boustead Ave,M6R 1Y9,former Toronto,Toronto,The Canadian Islamic Trust,10785734,MULTIPOINT (-79.4544695238304 43.6533088679897)
23,23,2119588,AL AZHAR ISLAMIC SCHOOL,,100 MCLEVIN AVE,2119588,100,100 McLevin Ave,M1B 5K1,Scarborough,Toronto,,2119589,MULTIPOINT (-79.2365750799133 43.8015539474172)
24,24,376316,AL HAADI SCHOOL,,690 PROGRESS AVE,376316,690,690 Progress Ave,M1H 3A6,Scarborough,Toronto,,107416,MULTIPOINT (-79.2484031068229 43.777941595248)
25,25,1017314,AL IKHLAAS FOUNDATION SCHOOL,,1245 MARTIN GROVE RD,1017314,1245,1245 Martin Grove Rd,M9W 4X2,Etobicoke,Toronto,,908132,MULTIPOINT (-79.5785365341563 43.7109597265285)
26,26,385458,ALATHENA INTERNATIONAL ACADEMY SECONDARY SCHOOL - BRIMLEY,,4386 SHEPPARD AVE E,385458,4386,4386 Sheppard Ave E,M1S 1T8,Scarborough,Toronto,,106449,MULTIPOINT (-79.270651634897 43.7874691720053)
27,27,508045,ALATHENA INTERNATIONAL ACADEMY SECONDARY SCHOOL - NORTH YORK,,1470 DON MILLS RD,508045,1470,1470 Don Mills Rd,M3B 2X9,North York,Toronto,,441121,MULTIPOINT (-79.3477301743604 43.7532181809796)
28,28,9311804,ALATHENA INTERNATIONAL ACADEMY SECONDARY SCHOOL - SCARBOROUGH,,1065 MCNICOLL AVE,9311804,1065,1065 McNicoll Ave,M1W 3W6,Scarborough,Toronto,,9311781,MULTIPOINT (-79.3326615935038 43.8036813180512)
29,29,9655748,ALAZHAR ACADEMY OF CANADA,,2074 KIPLING AVE,9655748,2074,2074 Kipling Ave,M9W 4J9,Etobicoke,Toronto,,9655707,MULTIPOINT (-79.5692116239686 43.7148769185254)
30,30,7531001,ALBERT CAMPBELL COLLEGIATE INSTITUTE,Toronto District School Board,1550 SANDHURST CRCL,7531001,1550,1550 Sandhurst Crcl,M1V 1S6,Scarborough,Toronto,Albert Campbell Collegiate Institute,7531000,MULTIPOINT (-79.272424472942 43.8092625383141)
31,31,10133520,ALBION HEIGHTS JUNIOR MIDDLE SCHOOL,Toronto District School Board,45 LYNMONT RD,10133520,45,45 Lynmont Rd,M9V 3W9,Etobicoke,Toronto,Albion Heights Public School,30065224,MULTIPOINT (-79.5943154958931 43.7313882639787)
32,32,982437,ALBION LINC,Toronto District School Board,1530 ALBION RD,982437,1530,1530 Albion Rd,M9V 1B4,Etobicoke,Toronto,,906946,MULTIPOINT (-79.5846021379965 43.7417625405401)
33,33,11125044,ALBORZ EDUCATION CENTRE SECONDARY SCHOOL,,20 TANGREEN CRT,11125044,20,20 Tangreen Crt,M2M 3Y9,North York,Toronto,,11125045,MULTIPOINT (-79.4261936575198 43.7954965800332)
34,34,10527839,ALEXANDER MUIR GLADSTONE AVENUE JUNIOR & SENIOR PUBLIC SCHOOL,Toronto District School Board,108 GLADSTONE AVE,10527839,108,108 Gladstone Ave,M6J 3L2,former Toronto,Toronto,Alexander Muir/Gladstone Ave Junior and Senior Public School,10527836,MULTIPOINT (-79.4288472631571 43.6460212506421)
