,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
_id,1,3,2099,2101,2109,2081,1343,2102,1054,2104,2106,2108,2110,2112,2097,2114,2116,2118,2120,2122
Category,Neighbourhood Information,Population,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income
Topic,Neighbourhood Information,Population and dwellings,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015
Characteristic,Neighbourhood Number,"Population, 2016","$10,000 to $14,999","$100,000 to $124,999","$125,000 to $149,999","$15,000 to $19,999","$150,000 to $199,999","$20,000 to $24,999","$200,000 and over","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$5,000 to $9,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999"
City of Toronto,,"2,731,571",,,,,,,,,,,,,,,,,,
Agincourt North,129,29113,325,1890,1105,900,1105,660,325,1105,870,965,875,910,210,1730,1455,1330,1165,1015
Agincourt South-Malvern West,128,23757,400,1490,845,540,900,665,285,815,765,835,840,860,270,1630,1400,1225,1010,810
Alderwood,20,12054,160,1125,925,175,1030,305,360,325,325,380,345,390,80,725,655,685,585,515
Annex,95,30526,1315,2425,1685,1525,3895,1300,2670,1155,1155,1230,1185,1170,970,2160,1960,1615,1465,1225
Banbury-Don Mills,42,27695,480,2165,1440,835,2850,825,1750,940,905,1045,1015,975,305,2110,1885,1570,1345,1200
Bathurst Manor,34,15873,305,1175,775,845,1140,520,515,470,470,555,550,505,170,900,925,810,660,605
Bay Street Corridor,76,25797,1485,1965,1325,1410,1885,1200,1105,1170,1060,1085,975,975,1475,1930,1925,1710,1355,1050
Bayview Village,52,21396,580,1655,1120,685,1650,770,855,755,795,735,765,765,515,1475,1440,1310,1065,930
Bayview Woods-Steeles,49,13154,165,950,690,275,1065,405,580,360,425,395,430,355,140,705,625,570,570,505
Bedford Park-Nortown,39,23236,295,1325,975,525,3735,485,2915,460,505,480,520,520,185,970,870,805,685,620
Beechborough-Greenbrook,112,6577,320,290,180,385,190,375,60,360,405,355,330,265,120,440,400,295,235,200
Bendale,127,29960,525,1995,1200,905,1075,795,275,985,1010,1140,1095,1120,450,2025,1775,1545,1290,1085
Birchcliffe-Cliffside,122,22291,645,1885,1265,685,1900,855,930,695,710,725,750,715,590,1425,1235,1150,1020,915
Black Creek,24,21737,635,830,360,1205,310,920,40,1000,995,945,970,905,345,1555,1160,945,715,560
Blake-Jones,69,7727,300,530,440,550,705,290,320,280,260,265,245,205,180,385,335,295,270,250
Briar Hill-Belgravia,108,14257,380,1035,590,595,560,585,165,565,545,610,610,530,270,1010,965,870,715,605
Bridle Path-Sunnybrook-York Mills,41,9266,65,440,375,75,2015,70,1705,95,85,90,85,80,50,210,225,210,200,215
Broadview North,57,11499,400,705,470,735,645,625,320,735,720,670,665,605,225,1085,815,650,510,445
Brookhaven-Amesbury,30,17757,510,980,520,670,455,800,150,760,830,895,760,705,255,1295,1110,880,655,565
Cabbagetown-South St. James Town,71,11669,655,935,640,1045,1120,685,700,560,535,540,555,545,320,970,860,740,590,510
Caledonia-Fairbank,109,9955,200,790,500,240,400,375,80,335,375,400,380,365,130,635,545,535,485,450
Casa Loma,96,10968,270,890,620,365,1825,335,1325,395,375,380,325,345,160,640,640,630,485,500
