_id,LOCATIONID,ASSET_ID,ASSET_NAME,TYPE,AMENITIES,ADDRESS,PHONE,URL,geometry
1,298,1126,WILLIAMSON PARK RAVINE,Park,None,1680 GERRARD ST E,None,https://www.toronto.ca/data/parks/prd/facilities/complex/298/index.html,"{""coordinates"": [[319526.89928331657, 4837582.7981906645]], ""type"": ""MultiPoint""}"
2,2342,1328,GLENELLEN PARKETTE,Park,None,63 GLENELLEN DR E,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2342/index.html,"{""coordinates"": [[305167.5027436115, 4833407.671260002]], ""type"": ""MultiPoint""}"
3,2281,1317,GATEWAY PARK,Park,None,40 EAST LIBERTY ST,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2281/index.html,"{""coordinates"": [[311906.97454115684, 4833268.57413405]], ""type"": ""MultiPoint""}"
4,1030,964,SMITHWOOD PARK,Park,Playground,79 SMITHWOOD DR,None,https://www.toronto.ca/data/parks/prd/facilities/complex/1030/index.html,"{""coordinates"": [[300709.29953744466, 4833438.733353115]], ""type"": ""MultiPoint""}"
5,2544,816,PETER STREET BASIN PARK,Park,None,370 QUEENS QUAY W,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2544/index.html,"{""coordinates"": [[313695.7282206923, 4833177.160110025]], ""type"": ""MultiPoint""}"
6,700,765,NORTH PARK,Park,"Playground, Tennis Court",587 RUSTIC RD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/700/index.html,"{""coordinates"": [[306898.44062374113, 4841827.682719475]], ""type"": ""MultiPoint""}"
7,349,976,SPENVALLEY PARK,Park,"Ball Diamond, Playground, Sports Field",130 SPENVALLEY DR,None,https://www.toronto.ca/data/parks/prd/facilities/complex/349/index.html,"{""coordinates"": [[304293.06115560886, 4844936.532223938]], ""type"": ""MultiPoint""}"
8,55,1325,GLEBE MANOR SQUARE,Park,None,51 HARWOOD RD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/55/index.html,"{""coordinates"": [[313864.8813515905, 4840288.834836883]], ""type"": ""MultiPoint""}"
9,2496,1578,WESTVIEW GREENBELT,Park,None,20 A NORDALE CRES,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2496/index.html,"{""coordinates"": [[305773.4467858874, 4840142.814044912]], ""type"": ""MultiPoint""}"
10,2228,1699,CONSTABLE PERCY CUMMINS PARKETTE,Park,None,235 CONNOLLY ST,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2228/index.html,"{""coordinates"": [[307913.01033251686, 4836870.073580764]], ""type"": ""MultiPoint""}"
11,2741,746,MUNICIPAL PARK,Park,Playground,25 ANSELL AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2741/index.html,"{""coordinates"": [[301383.13330062636, 4828131.915286258]], ""type"": ""MultiPoint""}"
12,2387,1808,INGLEWOOD PARKETTE,Park,None,135 ST. CLAIR AVE E,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2387/index.html,"{""coordinates"": [[313862.78431832796, 4838804.871101605]], ""type"": ""MultiPoint""}"
