_id,OBJECTID,GEO_ID,NAME,SCHOOL_LEVEL,SCHOOL_TYPE,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,geometry
1,1,330677,A PLUS ACADEMY OF ADVANCEMENT,None,PR,None,2425 EGLINTON AVE E,Private,330677,2425,Eglinton Ave E,2425 Eglinton Ave E,M1K 5G8,Scarborough,Toronto,None,104008,111254,2425,None,,None,125,"{""coordinates"": [[323561.9447044335, 4843595.09402532]], ""type"": ""MultiPoint""}"
2,2,524780,A R S ARMENIAN PRIVATE SCHOOL,None,PR,None,50 HALLCROWN PL,Private,524780,50,Hallcrown Pl,50 Hallcrown Pl,M2J 1P7,North York,Toronto,None,104008,438652,50,None,,None,5778,"{""coordinates"": [[319037.47660462774, 4847802.38238006]], ""type"": ""MultiPoint""}"
3,3,20258267,A Y J GLOBAL ACADEMY,None,PR,None,4 LANSING SQ,Private,20258267,4,Lansing Sq,4 Lansing Sq,M2J 5A2,North York,Toronto,None,104008,438287,4,None,,None,6007,"{""coordinates"": [[318870.665644494, 4848249.695304258]], ""type"": ""MultiPoint""}"
4,4,517961,A Y JACKSON SECONDARY SCHOOL,None,EP,Toronto District School Board,50 FRANCINE DR,English Public,517961,50,Francine Dr,50 Francine Dr,M2H 2G6,North York,Toronto,A. Y. Jackson Secondary School,102002,436260,50,None,,None,5639,"{""coordinates"": [[315537.2263147297, 4851707.366765408]], ""type"": ""MultiPoint""}"
5,5,13967401,ABACUS MONTESSORI LEARNING CENTRE,None,PR,None,4 CREDIT UNION DR,Private,13967401,4,Credit Union Dr,4 Credit Union Dr,M4A 2N8,North York,Toronto,Latvian Canadian Centre,106007,444179,4,None,,None,5294,"{""coordinates"": [[319382.10142967635, 4842845.898255153]], ""type"": ""MultiPoint""}"
6,6,4605052,ABU BAKR EDUCATION ACADEMY,None,PR,None,2665 LAWRENCE AVE E,Private,4605052,2665,Lawrence Ave E,2665 Lawrence Ave E,M1P 2S2,Scarborough,Toronto,None,112001,4605051,2665,None,,None,3828,"{""coordinates"": [[323953.7766846908, 4845748.32363251]], ""type"": ""MultiPoint""}"
7,7,8087266,ACACIA INTERNATIONAL HIGH SCHOOL,None,PR,None,5415 DUNDAS ST W,Private,8087266,5415,Dundas St W,5415 Dundas St W,M9B 1B5,Etobicoke,Toronto,None,115001,8087218,5415,None,,None,558,"{""coordinates"": [[301468.5763853963, 4832669.225473766]], ""type"": ""MultiPoint""}"
8,8,322971,ACADEMIE ALEXANDRE DUMAS,None,FP,Conseil scolaire Viamonde,255 CORONATION DR,French Public,322971,255,Coronation Dr,255 Coronation Dr,M1E 2J3,Scarborough,Toronto,Academie Alexandre Dumas,102001,108815,255,None,,None,7654,"{""coordinates"": [[330584.76953628176, 4846988.883256863]], ""type"": ""MultiPoint""}"
9,9,575619,ACADEMY OF EXCELLENCE  ,None,PR,None,128 WILLOWDALE AVE,Private,575619,128,Willowdale Ave,128 Willowdale Ave,M2N 4Y2,North York,Toronto,None,112001,439396,128,None,,None,7093,"{""coordinates"": [[312810.9376966308, 4847251.311620301]], ""type"": ""MultiPoint""}"
10,10,30029356,ACADEMY OF MATH AND ENGLISH,None,PR,None,5101 DUNDAS ST W,Private,30029356,5101,Dundas St W,5101 Dundas St W,M9A 5G8,Etobicoke,Toronto,None,112001,30012612,5101,None,,None,558,"{""coordinates"": [[302219.4912784377, 4833875.3362418525]], ""type"": ""MultiPoint""}"
11,11,9311790,ACADEMY OF NEW ECHO EDUCATION,None,PR,None,1041 MCNICOLL AVE,Private,9311790,1041,McNicoll Ave,1041 McNicoll Ave,M1W 3W6,Scarborough,Toronto,None,115001,9311781,1041,None,,None,6195,"{""coordinates"": [[318118.74285450164, 4851588.730727376]], ""type"": ""MultiPoint""}"
