STREET_NUM,STREET_NAME,STREET_DIRECTION,POSTAL,WARD_NUMBER,WARD_NAME
2681,DANFORTH, ,M4C,19,Beaches-East York
50,LAING, ,M4L,14,Toronto-Danforth
23,TORONTO, ,M5C,13,Toronto Centre
5,JOPLING,S,M9B,03,Etobicoke-Lakeshore
0,EXMOOR, ,   ,03,Etobicoke-Lakeshore
412,CHURCH, ,M5B,13,Toronto Centre
3718,KINGSTON, ,M1J,24,Scarborough-Guildwood
121,CHURCH, ,M9N,05,York South-Weston
123,CHURCH, ,M9N,05,York South-Weston
125,CHURCH, ,M9N,05,York South-Weston
127,CHURCH, ,M9N,05,York South-Weston
89,QUEEN,E,M5C,13,Toronto Centre
121,CHURCH, ,M9N,05,York South-Weston
123,CHURCH, ,M9N,05,York South-Weston
125,CHURCH, ,M9N,05,York South-Weston
127,CHURCH, ,M9N,05,York South-Weston
89,QUEEN,E,M5C,13,Toronto Centre
440,EVANS, ,   ,03,Etobicoke-Lakeshore
467,WELLINGTON,W,M5V,10,Spadina-Fort York
875,THE QUEENSWAY, ,M8Z,03,Etobicoke-Lakeshore
3400,DUFFERIN, ,M6A,08,Eglinton-Lawrence
3400,DUFFERIN, ,M6A,08,Eglinton-Lawrence
1125,MARKHAM, ,M1H,24,Scarborough-Guildwood
429,WALMER, ,M5P,12,Toronto-St. Paul's
468-480,DANFORTH, ,M1K,20,Scarborough Southwest
251,THE WEST MALL, ,M9C,02,Etobicoke Centre
425,BLOOR,W,M5S,11,University-Rosedale
150,EIGHTH, ,M8V,03,Etobicoke-Lakeshore
38,CHURCHILL, ,M2N,18,Willowdale
40,CHURCHILL, ,M2N,18,Willowdale
522,UNIVERSITY, ,M5G,11,University-Rosedale
1150,CALEDONIA, ,M6A,08,Eglinton-Lawrence
1120-1130,CALEDONIA, ,M6A,08,Eglinton-Lawrence
1130,CALEDONIA, ,M6A,08,Eglinton-Lawrence
1120,CALEDONIA, ,M6A,08,Eglinton-Lawrence
0,CALEDONIA, ,   ,08,Eglinton-Lawrence
260,WELLESLEY,E,M4X,13,Toronto Centre
955,LAKE SHORE,W,M6K,10,Spadina-Fort York
7,SAGUENAY, ,M5N,08,Eglinton-Lawrence
240,THE DONWAY,W,M3B,16,Don Valley East
1728,BLOOR,W,M6P,04,Parkdale-High Park
2352,YONGE, ,M4P,08,Eglinton-Lawrence
50,GERRARD,E,M5B,13,Toronto Centre
50,GERRARD,E,M5B,13,Toronto Centre
1246,WESTON, ,M6M,05,York South-Weston
280,WELLESLEY,E,M4X,13,Toronto Centre
25,SHORNCLIFFE, ,M9B,03,Etobicoke-Lakeshore
15,SHORNCLIFFE, ,M9B,03,Etobicoke-Lakeshore
5475,DUNDAS,W,M9B,03,Etobicoke-Lakeshore
3003,SHEPPARD,E,M1T,22,Scarborough-Agincourt
795,SHEPPARD,W,M3H,06,York Centre
132,GORMAN PARK, ,M3H,06,York Centre
130,GORMAN PARK, ,M3H,06,York Centre
128,GORMAN PARK, ,M3H,06,York Centre
36,MONTGOMERY, ,M4R,08,Eglinton-Lawrence
40,MONTGOMERY, ,M4R,08,Eglinton-Lawrence
42,MONTGOMERY, ,M4R,08,Eglinton-Lawrence
46,MONTGOMERY, ,M4R,08,Eglinton-Lawrence
48,MONTGOMERY, ,M4R,08,Eglinton-Lawrence
70,MONTGOMERY, ,M4R,08,Eglinton-Lawrence
52,MONTGOMERY, ,M4R,08,Eglinton-Lawrence
54,MONTGOMERY, ,M4R,08,Eglinton-Lawrence
58,MONTGOMERY, ,M4R,08,Eglinton-Lawrence
60,MONTGOMERY, ,M4R,08,Eglinton-Lawrence
64,MONTGOMERY, ,M4R,08,Eglinton-Lawrence
66,MONTGOMERY, ,M4R,08,Eglinton-Lawrence
36,MONTGOMERY, ,M4R,08,Eglinton-Lawrence
15,TORONTO, ,M5C,13,Toronto Centre
105,THIRTY FIRST, ,M8W,03,Etobicoke-Lakeshore
84,ULSTER, ,M5S,11,University-Rosedale
69,WESTMORE, ,M9V,01,Etobicoke North
1728,BLOOR,W,M6P,04,Parkdale-High Park
15,BLOOR,W,M4W,11,University-Rosedale
15,BLOOR,W,M4W,11,University-Rosedale
3005,SHEPPARD,E,M1T,22,Scarborough-Agincourt
3007,SHEPPARD,E,M1T,22,Scarborough-Agincourt
3009,SHEPPARD,E,M1T,22,Scarborough-Agincourt
3011,SHEPPARD,E,M1T,22,Scarborough-Agincourt
1802,PHARMACY, ,M1T,22,Scarborough-Agincourt
1806,PHARMACY, ,M1T,22,Scarborough-Agincourt
1810,PHARMACY, ,M1T,22,Scarborough-Agincourt
1812,PHARMACY, ,M1T,22,Scarborough-Agincourt
1814,PHARMACY, ,M1T,22,Scarborough-Agincourt
45,INDUSTRIAL, ,M4G,15,Don Valley West
214,SOUDAN, ,M4S,12,Toronto-St. Paul's
40,MONTGOMERY, ,M4R,08,Eglinton-Lawrence
42,MONTGOMERY, ,M4R,08,Eglinton-Lawrence
46,MONTGOMERY, ,M4R,08,Eglinton-Lawrence
48,MONTGOMERY, ,M4R,08,Eglinton-Lawrence
70,MONTGOMERY, ,M4R,08,Eglinton-Lawrence
2430,YONGE, ,M4P,08,Eglinton-Lawrence
54,MONTGOMERY, ,M4R,08,Eglinton-Lawrence
58,MONTGOMERY, ,M4R,08,Eglinton-Lawrence
64,MONTGOMERY, ,M4R,08,Eglinton-Lawrence
66,MONTGOMERY, ,M4R,08,Eglinton-Lawrence
25,MABELLE, ,M9A,03,Etobicoke-Lakeshore
3429,YONGE, ,M4N,15,Don Valley West
1783-1785,BAYVIEW, ,M4G,15,Don Valley West
1787,BAYVIEW, ,M4G,15,Don Valley West
1779,BAYVIEW, ,M4G,15,Don Valley West
1783-1785,BAYVIEW, ,M4G,15,Don Valley West
1787,BAYVIEW, ,M4G,15,Don Valley West
1779,BAYVIEW, ,M4G,15,Don Valley West
67,WESTMORE, ,M9V,01,Etobicoke North
135,PLUNKETT, ,M9L,07,Humber River-Black Creek
23,TORONTO, ,M5C,13,Toronto Centre
250,LAWRENCE,W,M5M,08,Eglinton-Lawrence
3501,DUFFERIN, ,   ,06,York Centre
250,WINCOTT, ,M9R,02,Etobicoke Centre
630,THE EAST MALL, ,M9B,02,Etobicoke Centre
632,NORTHCLIFFE, ,M6E,12,Toronto-St. Paul's
632,NORTHCLIFFE, ,M6E,12,Toronto-St. Paul's
1891,EGLINTON,E,M1L,20,Scarborough Southwest
5294-5304,YONGE, ,M2N,18,Willowdale
1891,EGLINTON,E,M1L,20,Scarborough Southwest
190,RIDLEY, ,   ,08,Eglinton-Lawrence
56,FIELDWAY, ,M8Z,03,Etobicoke-Lakeshore
189,OLD WESTON, ,M6N,09,Davenport
169,THE DONWAY,W,M3C,16,Don Valley East
1316,KINGSTON, ,M1N,20,Scarborough Southwest
116,AVENUE, ,M5R,11,University-Rosedale
2759,KINGSTON, ,M1M,20,Scarborough Southwest
147,OVERBROOK, ,M3H,06,York Centre
1761,DUNDAS,E,M4L,14,Toronto-Danforth
1761,DUNDAS,E,M4L,14,Toronto-Danforth
100,BEVERLEY, ,M5T,10,Spadina-Fort York
29,PARKCREST, ,M1M,20,Scarborough Southwest
147,ELDER, ,M3H,06,York Centre
149,ELDER, ,M3H,06,York Centre
151,ELDER, ,M3H,06,York Centre
128,AVENUE, ,M5R,11,University-Rosedale
4174,DUNDAS,W,M8X,02,Etobicoke Centre
3750,BATHURST, ,M3H,06,York Centre
124,BEDFORD, ,M5R,11,University-Rosedale
124,BEDFORD, ,M5R,11,University-Rosedale
1830,WESTON, ,M9N,05,York South-Weston
578,KING,W,M5V,10,Spadina-Fort York
530,THE EAST MALL, ,M9B,02,Etobicoke Centre
2690,BAYVIEW, ,M2L,15,Don Valley West
855,KINGSTON, ,M4E,19,Beaches-East York
61,FRONT,W,M5J,10,Spadina-Fort York
5280,FINCH,E,   ,23,Scarborough North
509,PARLIAMENT, ,M4X,13,Toronto Centre
576,SHERBOURNE, ,M4X,13,Toronto Centre
777,VAUGHAN, ,M6E,12,Toronto-St. Paul's
214,SHERBOURNE, ,M5A,13,Toronto Centre
707,YONGE, ,M4Y,11,University-Rosedale
8,CHARLES,E,M4Y,11,University-Rosedale
740,SHEPPARD,W,M3H,06,York Centre
748,SHEPPARD,W,M3H,06,York Centre
130,MIDLAND, ,M1N,20,Scarborough Southwest
123,WYNFORD, ,M3C,16,Don Valley East
1840,BAYVIEW, ,M4G,15,Don Valley West
1840,BAYVIEW, ,M4G,15,Don Valley West
60,BALLIOL, ,M4S,12,Toronto-St. Paul's
237,FINCH,W,M2R,18,Willowdale
3227,EGLINTON,E,M1J,24,Scarborough-Guildwood
1053,DON MILLS, ,M3C,16,Don Valley East
237,VICTORIA, ,M5B,13,Toronto Centre
237,VICTORIA, ,M5B,13,Toronto Centre
83,BLOOR,W,M5S,11,University-Rosedale
